id,text_no_spaces,predicted_positions
0,куплюайфон14про,"[5, 11, 14]"
1,ищудомвПодмосковье,"[3, 7, 9]"
2,сдаюквартирусмебельюитехникой,"[4, 13, 15, 23, 25]"
3,новыйдивандоставканедорого,"[5, 11, 20]"
4,отдамдаромкошку,"[5, 11]"
5,работавМосквеудаленно,"[6, 8, 15]"
6,куплютелевизорPhilips,"[5, 15]"
7,ищугрузчиковдляпереезда,"[3, 13, 17]"
8,ремонтквартирподключ,[13]
9,куплюноутбукHP,"[5, 13]"
10,ищуквартирууметро,"[3, 12, 14]"
11,новаямикроволновкаSamsung,"[5, 19]"
12,срочнопродамвелосипед,"[6, 13]"
13,куплюгитаруFender,"[5, 12]"
14,ищурепетиторапобиологии,"[3, 14]"
15,сдаюгаражнадлительныйсрок,"[4, 10, 20]"
16,куплюдиванбу,"[5, 11]"
17,ищумастерапоремонтухолодильников,"[3, 11, 14, 22]"
18,новыйшкафдоставкасегодня,"[5, 10, 19]"
19,куплюXboxOne,"[5, 10]"
20,ищуподработкуповечерам,"[3, 10, 13]"
21,сдамкомнатустудентке,"[4, 12]"
22,куплюстаруюкнигу,"[5, 12]"
23,ищусобакулабрадор,[3]
24,новыйтелефонXiaomi13,"[5, 13, 20]"
25,куплюPlaystation5диск,"[5, 17, 19]"
26,ищукомнатувцентрегорода,"[3, 11, 13, 20]"
27,срочнонужнаняняребенку,"[6, 12, 17]"
28,куплюстиральнуюмашинуIndesit,"[5, 16, 23]"
29,ищудетскуюкроваткубу,"[3, 11]"
30,новаякурткадоставка,"[5, 12]"
31,куплювелосипедMerida,"[5, 15]"
32,ищуврачаофтальмолога,"[3, 9]"
33,сдаюквартирувцентреМосквы,"[4, 13, 15, 22]"
34,куплюхолодильникSamsung,"[5, 17]"
35,ищукошкубританскую,"[3, 9]"
36,новыйноутбукдоставказавтра,"[5, 13, 22]"
37,куплюшкафбу,"[5, 10]"
38,ищурепетиторапоистории,"[3, 14, 17]"
39,сдаюкомнатубезпосредников,"[4, 12, 16]"
40,куплютелевизорLGOLED,"[5, 15, 18]"
41,ищуквартирунедорогосрочно,"[3, 12, 21]"
42,новыйайфондоставка,[5]
43,куплюгитаруYamaha,"[5, 12]"
44,ищустудиюуметро,"[3, 10]"
45,сдамквартирумолодоженам,"[4, 13]"
46,куплюкомпьютеригровой,[5]
47,ищуработуповаромвкафе,"[3, 10, 18, 20]"
48,новыйдиванIkea,"[5, 11]"
49,куплюстарыйноутбук,"[5, 12]"
50,ищусобакудобермана,"[3, 10]"
51,срочносдаюкомнату,"[6, 11]"
52,куплюмониторLG,"[5, 13]"
53,ищумастерапосантехнике,"[3, 11, 14]"
54,новыйстолдоставка,"[5, 10]"
55,куплюайфон13мини,"[5, 11, 14]"
56,ищудевушкудляотношений,"[3, 11, 15]"
57,сдаюдачуналето,"[4, 9]"
58,куплюстиральнуюмашинуLG,"[5, 16, 23]"
59,ищуучителяанглийскогоязыка,"[3, 11, 23]"
60,новыйноутбукAsus,"[5, 13]"
61,куплюматрасортопедический,[5]
62,ищукомнатунадлительныйсрок,"[3, 11, 23]"
63,сдамквартирубеззалога,"[4, 13, 17]"
64,куплюхолодильникAtlant,"[5, 17]"
65,ищусобакушпица,"[3, 10]"
66,новаястиральнаямашинадоставка,"[5, 16, 23]"
67,куплютелевизорSony,"[5, 15]"
68,ищурепетиторапогеографии,"[3, 14, 17]"
69,сдаюкомнатусмебелью,"[4, 12, 14]"
70,куплюпылесосDyson,"[5, 13]"
71,ищуработуофицианткой,"[3, 10]"
72,новыйшкафкупе,"[5, 10]"
73,куплюдиванугловой,"[5, 11]"
74,ищуквартирунадлительныйсрок,"[3, 12, 24]"
75,сдамгаражваренду,"[4, 10, 12]"
76,куплювелосипедStels,"[5, 15]"
77,ищуврачапедиатра,"[3, 9]"
78,новыйтелефонOppo,"[5, 13]"
79,куплюмикроволновкуSamsung,"[5, 19]"
80,ищукомнатудлядевушки,"[3, 11, 15]"
81,срочнопродамшкаф,"[6, 13]"
82,куплюPlaystation4slim,"[5, 17, 19]"
83,ищусобакунемецкуюовчарку,"[3, 10, 19]"
84,новаякуртказима,"[5, 12]"
85,куплютелефонHonor,"[5, 13]"
86,ищуподругудляпрогулок,"[3, 11, 15]"
87,сдаюквартирусемье,"[4, 13]"
88,куплютелевизорToshiba,"[5, 15]"
89,ищумастерапоремонтустиралок,"[3, 11, 14, 22]"
90,новыйдивансерый,"[5, 11]"
91,куплюкомодбу,[5]
92,ищуучителяпоматематике,"[3, 11]"
93,сдамквартирустудентам,"[4, 13]"
94,куплювелосипедбу,[5]
95,ищустудиюнамесяц,"[3, 10, 13]"
96,новаямикроволновкадоставка,"[5, 19]"
97,ищуработунавыходные,"[3, 10, 13]"
98,куплютелефонHuawei,"[5, 13]"
99,"продамшкаф,почтиновый,сзеркалами","[6, 12, 18, 25, 27]"
100,"ищукнигубратьякарамазовы,срочно","[3, 9, 16, 26]"
101,"новыймонитор,27дюймов,доставка","[5, 14, 17, 25]"
102,"куплюковрикдляйоги,недорого!","[5, 12, 16, 20]"
103,"ищуинструкторапоплаванию,бассейнрядом","[3, 15, 18, 28, 36]"
104,"сдамкомнату,толькодевушке","[4, 13, 20]"
105,"куплюшвейнуюмашинку,рабочую","[5, 13, 21]"
106,"ищудрузейдляпутешествий,летомвгоры","[3, 10, 14, 27, 33, 35]"
107,"новаякофеваркаPhilips,гарантияесть","[5, 15, 24, 33]"
108,"куплюлыжи,палкивкомплекте","[5, 11, 17, 19]"
109,"ищуучителяповокалу,джаз","[3, 11, 14, 24]"
110,"сдамместовгараже,сухо","[4, 10, 12, 18, 21]"
111,"куплюдетскийвелосипед,длядевочки","[5, 13, 24, 28]"
112,"ищупекарявкафе,утро","[3, 10, 12, 18]"
113,"новаястиралкаBosch,привезусам","[5, 14, 21]"
114,"куплюстолписьменный,белый","[5, 10, 22]"
115,"ищупрограммистанапроект,срочно!","[3, 16, 19, 27]"
116,"сдамстудиюпосуточно,метрорядом","[4, 11, 22]"
117,"куплюсковородучугунную,диаметр28","[5, 15, 26, 34]"
118,"ищурепетиторапобиологии,ЕГЭ","[3, 14, 25]"
119,"новаягазоваяплита,привезёмбыстро","[5, 13, 19, 28]"
120,"куплюмашинуВАЗбу,находу","[5, 12, 19]"
121,"ищустоликдляноутбука,складной","[3, 8, 11, 15, 25]"
122,"сдамквартирунаночь,чисто","[4, 13, 20]"
123,"куплюшкаф-купе,трёхдверный","[5, 16]"
124,"ищукостюмнасвадьбу,мужской","[3, 10, 13, 22]"
125,"новыйпылесосSamsung,коробкаесть","[5, 13, 22, 30]"
126,"куплюрюкзактуристический,70литров","[5, 23, 26]"
127,ищуучителяпошахматам,"[3, 11]"
128,"сдампарковкувцентре,охрана","[4, 13, 15, 23]"
129,"куплюкроссовкиAdidas,оригинал","[5, 15, 23]"
130,"ищустолярныеуслуги,недорого","[3, 8, 14, 22]"
131,"новыйтелевизорLG,гарантия2года","[5, 15, 19, 28, 30]"
132,"куплювазудляцветов,стеклянную","[5, 10, 14, 22]"
133,ищууборщицунавыходные,"[3, 12, 15]"
134,"сдамофис,20квадратов","[4, 10, 13]"
135,"куплюконькиженские,размер37","[5, 20, 27]"
136,ищупереводчикасанглийского,"[3, 15]"
137,"новыйутюгPhilips,гарантия","[5, 10, 19]"
138,"куплюнаушники,беспроводные","[5, 15]"
139,"ищуплиточника,ремонтванной","[3, 15]"
140,"сдамгараж,ключинаруках","[4, 11, 17, 20]"
141,"куплюноутбук,недорого,срочно","[5, 14, 24]"
142,ищугрузчиковназавтра,"[3, 13]"
143,"новыйроутерXiaomi,вайфай6","[5, 12, 20, 27]"
144,"куплюколонки5.1,мощные","[5, 13, 18]"
145,"ищуэлектрика,розеткиискрят!","[3, 14, 22]"
146,"сдамдачунанеделю,естьбаня","[4, 9, 12]"
147,"куплюмиксеркухонный,брендовый","[5, 9, 19]"
148,ищуфотографанамероприятие,"[3, 13, 16]"
149,новаямультиваркаRedmond,"[5, 17]"
150,"куплючайникэлектрический,новый","[5, 12, 27]"
151,"ищупылесос,моющий","[3, 12]"
152,"сдамкладовку,центргорода","[4, 14, 20]"
153,куплюкамерувидеонаблюдения,"[5, 12]"
154,"ищуняню,графикгибкий","[3, 9, 16]"
155,"новыйсмартфон,запечатанный","[5, 15]"
156,куплючемоданнаколёсах,"[5, 13, 16]"
157,ищупарикмахеранадом,"[3, 15, 18]"
158,"сдамсклад,50метров","[4, 11, 14]"
159,"куплюпроектор,дляфильмов","[5, 15, 19]"
160,ищугитариставгруппу,"[3, 10, 12]"
161,новыйкухонныйкомбайн,"[5, 14]"
162,"куплюдиван,тканьсерая","[5, 12, 18]"
163,ищуплитуэлектрическую,"[3, 9]"
164,"сдамстудиювцентре,уютная","[4, 11, 13, 21]"
165,куплюмясорубкуручную,"[5, 15]"
166,ищушеф-поваравресторан,"[3, 14, 16]"
167,новыйматрасортопедический,[5]
168,"куплютренажёр,вело","[5, 15]"
169,"ищуадвоката,консультация","[3, 13]"
170,"сдамофис,арендапомесячно","[4, 10, 17, 20]"
171,куплюкартинумаслом,"[5, 13]"
172,ищубухгалтеранаполставки,"[3, 14, 17]"
173,новаяпечьмикроволновая,"[5, 10]"
174,куплюлодкурезиновую,"[5, 11]"
175,"ищулогопеда,занятиядома","[3, 13, 21, 25]"
176,"сдамквартиру,ремонтсвежий","[4, 14]"
177,"ищумебельщика,кухняподзаказ","[3, 15, 21, 25]"
178,новыйкулердляводы,"[5, 11, 15]"
179,куплюстолскладной,"[5, 10]"
180,"ищуводителя,ночныесмены","[3, 13, 20]"
181,"сдамквартиру,толькорусским","[4, 14, 21]"
182,куплюплатьевечернее,"[5, 12]"
183,"ищухирурга,консультациясрочно","[3, 12, 25]"
184,новыйфильтрдляводы,"[5, 12]"
185,куплюкреслоофисное,"[5, 12]"
186,ищумассажистанадом,"[3, 15, 17]"
187,сдампомещениеподсклад,"[4, 14, 18]"
188,куплютелефонOppo,"[5, 13]"
189,"ищупсихолога,опытобязателен","[3, 14, 19]"
190,новаяколонкаJBL,"[5, 13]"
191,куплюджинсыLevi’s,"[5, 12]"
192,"ищудомработницу,центр","[3, 7, 18]"
193,"сдамдом,участок6соток","[4, 9, 17, 19]"
194,куплюконструкторLego,"[5, 17]"
195,ищухудожникадляпортрета,"[3, 13, 17]"
196,"новыйблендер,гарантия","[5, 14]"
197,"куплювидеокамеру,недорого","[5, 18]"
198,ищурепетиторапохимии,"[3, 14]"
199,"сдамдачу,лесрядом","[4, 10]"
200,куплюзимниешины,"[5, 12]"
201,ищугидапоМоскве,"[3, 8, 11]"
202,новаялюстрапотолочная,"[5, 12]"
203,"куплюковёр,шерстяной","[5, 12]"
204,ищуарендугаража,"[3, 10, 16]"
205,сдамквартирусбалконом,"[4, 13, 15]"
206,куплюудочкудлярыбалки,"[5, 12, 16]"
207,"ищукомпозитора,музыка","[3, 16]"
208,"новыйтостер,черный","[5, 13]"
209,куплюстоловыеприборы,"[5, 10, 15]"
210,ищуинженерапоремонту,"[3, 12, 15]"
211,"сдампарковку,центр","[4, 14]"
212,куплюрезинузимнюю,"[5, 12]"
213,ищуактерадлясъемок,"[3, 10, 14]"
214,новаяплитаэлектрическая,"[5, 11]"
215,куплювидеокартуRTX,"[5, 16]"
216,"ищуюриста,оформлениедоговора","[3, 11, 22]"
217,"сдамсклад,сухоепомещение","[4, 11, 17]"
218,куплюкомодбелый,[5]
219,"ищуплиточника,срочно","[3, 13]"
220,новаялампанастольная,"[5, 11, 17]"
221,"куплюскейтборд,новый","[5, 16]"
222,сдамкомнатусремонтом,"[4, 12, 14]"
223,куплюроутерTP-Link,"[5, 12]"
224,ищупарнядлясъёмок,"[3, 9, 13]"
225,"новыйковёр,мягкий","[5, 12]"
226,куплючасыCasio,"[5, 10]"
227,ищупоставщикаовощей,"[3, 14]"
228,"сдамстудию,центргорода","[4, 12, 18]"
229,куплюпылесосмоющий,[5]
230,ищудизайнераинтерьера,"[3, 13]"
231,"новыйхолодильник,белый","[5, 18]"
232,"ищуняню,полныйдень","[3, 9, 16]"
233,сдамквартирустехникой,"[4, 13, 15]"
234,куплюплитугазовую,"[5, 11]"
235,ищуврачакардиолога,"[3, 9]"
236,новыйчайникэлектрический,"[5, 12]"
237,куплюстульядеревянные,"[5, 12]"
238,ищуповаравкафе,"[3, 10, 12]"
239,сдамдомнамесяц,"[4, 8, 11]"
240,куплюавтомобильбу,[5]
241,ищупрограммистаpython,"[3, 16]"
242,новаяпосудомойкаBosch,"[5, 13, 18]"
243,куплюкамеруCanon,"[5, 12]"
244,ищуработубариста,"[3, 10]"
245,"сдамстудию,срочно","[4, 12]"
246,куплюайфон15про,"[5, 11, 14]"
247,сдамквартирувцентре,"[4, 13, 15]"
248,ищуработупрограммистом,"[3, 10]"
249,новаямебельвналичии,"[5, 12, 14]"
250,куплютелевизорSamsung,"[5, 15]"
251,ищутаксидоаэропорта,"[3, 9, 12]"
252,срочноотдамкотенка,"[6, 12]"
253,куплюхолодильникбу,[5]
254,сдаюдачусбаней,"[4, 9]"
255,куплювелосипедновый,"[5, 15]"
256,ищустудиюбезмебели,"[3, 10, 14]"
257,сдамкомнатунамесяц,"[4, 12, 15]"
258,куплюмониторSamsung,"[5, 13]"
259,ищусобакухаски,"[3, 10]"
260,новаякурткадоставказавтра,"[5, 12, 21]"
261,куплютелевизорLG,"[5, 15]"
262,ищуучителяиспанского,"[3, 11]"
263,сдамгаражсрочно,"[4, 10]"
264,куплюноутбукLenovo,"[5, 13]"
265,ищуквартирупосуточно,"[3, 12]"
266,новыйстолистулья,"[5, 10, 12]"
267,куплютелефонPixel,"[5, 13]"
268,ищуврачастоматолога,"[3, 9]"
269,сдаюофисваренду,[4]
270,куплюгитаруGibson,"[5, 12]"
271,ищуработукурьером,"[3, 10, 12]"
272,новыйноутбукMSI,"[5, 13]"
273,куплюмикроволновкуLG,"[5, 19]"
274,ищудевушкудляпрогулок,"[3, 11, 15]"
275,сдамскладнедорого,"[4, 10]"
276,куплюайпадбу,[5]
277,ищусобакутаксу,"[3, 10]"
278,куплюкомпьютерMac,"[5, 15]"
279,ищурепетиторапофизике,"[3, 14]"
280,сдамквартирупосуточно,"[4, 13]"
281,куплюдиванкожаный,"[5, 11]"
282,ищуработудизайнером,"[3, 10]"
283,новыйхолодильникдоставка,"[5, 17]"
284,куплютелевизорOLED,"[5, 15]"
285,ищустудиюсремонтом,"[3, 10, 12]"
286,сдамкомнатубезмебели,"[4, 12, 16]"
287,куплюпылесосXiaomi,"[5, 13]"
